Vehicles,Antennas,AvgPathLoss,AvgUnlinkedVehicles,AvgUnusedAntennas
100,10,123.808,83.28,1.98
100,20,122.898,67.64,4.62
100,30,122.439,56.76,7.34
100,40,121.754,47.78,11.56
100,50,121.938,38.64,16.68
200,10,123.431,165.44,0.36
200,20,122.83,135.18,1.02
200,30,122.314,112.14,2.7
200,40,122.01,95.6,4.3
200,50,121.871,75.42,6.46
300,10,123.52,246.68,0.18
300,20,122.819,206.96,0.36
300,30,122.347,169.62,0.8
300,40,121.956,143.18,1.36
300,50,121.735,117.08,2.76
400,10,123.387,332.64,0.02
400,20,122.855,273,0.14
400,30,122.528,228.58,0.4
400,40,121.948,189.2,0.8
400,50,121.483,159.72,1.3
500,10,123.241,413.82,0
500,20,123.016,341.96,0.08
500,30,122.242,284.26,0.3
500,40,122.136,233.7,0.36
500,50,121.662,196.06,0.82
