Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,10,1,121.991,84,1
100,10,2,122.511,88,3
100,10,3,125.183,76,1
100,10,4,122.049,79,2
100,10,5,129.958,86,3
100,10,6,123.106,85,3
100,10,7,120.967,78,2
100,10,8,124.895,73,1
100,10,9,123.527,82,4
100,10,10,123.101,83,3
100,10,11,122.712,83,2
100,10,12,120.647,87,3
100,10,13,120.298,91,4
100,10,14,125.409,85,3
100,10,15,125.379,82,0
100,10,16,124.318,82,2
100,10,17,123.484,85,2
100,10,18,123.349,82,0
100,10,19,128.383,84,1
100,10,20,124.394,85,1
100,10,21,124.412,84,1
100,10,22,123.058,84,3
100,10,23,124.814,82,4
100,10,24,125.057,86,2
100,10,25,128.188,84,4
100,10,26,123.53,82,2
100,10,27,120.086,83,1
100,10,28,122.803,78,0
100,10,29,125.49,82,1
100,10,30,121.765,88,1
100,10,31,122.447,82,3
100,10,32,123.9,79,1
100,10,33,121.667,86,3
100,10,34,121.018,76,0
100,10,35,118.73,77,3
100,10,36,127.363,85,1
100,10,37,123.489,85,2
100,10,38,127.274,84,2
100,10,39,124.973,80,0
100,10,40,123.971,84,1
100,10,41,125.85,85,1
100,10,42,124.425,84,1
100,10,43,119.499,82,1
100,10,44,125.388,86,1
100,10,45,124.196,87,3
100,10,46,121.62,91,6
100,10,47,127.62,84,2
100,10,48,124.273,84,1
100,10,49,122.18,86,4
100,10,50,125.644,84,3
100,20,1,123.047,70,6
100,20,2,126.572,80,7
100,20,3,119.641,68,6
100,20,4,122.695,57,6
100,20,5,122.604,71,4
100,20,6,123.244,68,3
100,20,7,122.567,74,5
100,20,8,122.664,62,7
100,20,9,121.275,79,10
100,20,10,122.998,70,6
100,20,11,122.699,69,3
100,20,12,124.697,66,4
100,20,13,121.853,72,5
100,20,14,122.756,66,2
100,20,15,124.156,73,4
100,20,16,122.504,68,3
100,20,17,123.661,61,6
100,20,18,122.784,71,5
100,20,19,121.891,64,3
100,20,20,119.585,64,4
100,20,21,120.29,69,3
100,20,22,120.655,82,9
