Vehicles,Antennas,AvgPathLoss,AvgUnlinkedVehicles,AvgUnusedAntennas
100,10,123.505,82.96,1.74
100,20,123.021,68.28,4.36
100,30,122.187,55.66,8.06
100,40,122.098,47.48,11.66
100,50,121.812,39.28,16.52
200,10,123.158,165.3,0.48
200,20,123.068,137.44,1.18
200,30,122.566,113.22,2.3
200,40,121.96,95.32,3.86
200,50,121.43,77.3,5.82
300,10,123.166,248.36,0.14
300,20,122.782,204.86,0.48
300,30,122.496,171.48,0.92
300,40,122.159,142.02,1.72
300,50,121.86,119.38,2.68
400,10,123.212,329.28,0.02
400,20,123.026,274.66,0.12
400,30,122.606,226.5,0.26
400,40,122.203,187.28,0.8
400,50,121.755,155.26,1.66
500,10,123.185,414.66,0.06
500,20,122.65,343.62,0.06
500,30,122.32,284.76,0.26
500,40,122.154,241.6,0.58
500,50,121.669,192.42,0.8
