Vehicles,Antennas,AvgPathLoss,AvgUnlinkedVehicles,AvgUnusedAntennas
100,10,123.34,83.46,2
100,20,122.991,69,4.38
100,30,122.664,56.36,7.44
100,40,122.286,46.92,11.84
100,50,121.86,39.04,16.12
200,10,123.228,166,0.62
200,20,122.68,139.72,1.04
200,30,122.659,113.84,2.36
200,40,121.92,94.3,3.7
200,50,121.754,77.24,5.76
300,10,123.15,246.5,0.06
300,20,123.031,204.44,0.36
300,30,122.602,169.86,0.84
300,40,122.011,141.4,1.56
300,50,121.581,115.06,2.7
400,10,123.268,333.16,0.04
400,20,122.865,273.02,0.2
400,30,122.548,228.94,0.34
400,40,122.117,187.68,0.92
400,50,121.731,157.22,1.5
500,10,123.048,413.92,0
500,20,122.786,346.76,0.1
500,30,122.418,286.1,0.2
500,40,122.065,235.98,0.56
500,50,121.607,192.78,0.72
