Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,10,1,125.411,71,0
100,10,2,124.81,86,2
100,10,3,125.341,85,4
100,10,4,126.61,83,3
100,10,5,123.014,87,3
100,10,6,123.897,86,2
100,10,7,124.82,81,2
100,10,8,124.464,81,3
100,10,9,125.512,85,1
100,10,10,118.989,88,2
100,10,11,124.454,85,2
100,10,12,118.264,91,3
100,10,13,117.75,83,3
100,10,14,121.081,83,1
100,10,15,123.327,84,2
100,10,16,124.381,74,1
100,10,17,124.626,77,1
100,10,18,125.802,83,3
100,10,19,123.979,90,3
100,10,20,123.643,89,4
100,10,21,121.892,85,2
100,10,22,124.617,86,1
100,10,23,122.362,85,1
100,10,24,121.67,84,3
100,10,25,123.418,79,1
100,10,26,125.469,84,1
100,10,27,120.302,82,3
100,10,28,124.866,84,3
100,10,29,125.526,84,1
100,10,30,122.242,86,3
100,10,31,124.694,88,2
100,10,32,120.291,81,1
100,10,33,124.242,80,2
100,10,34,116.056,88,3
100,10,35,122.507,78,2
100,10,36,124.235,92,4
100,10,37,122.233,84,2
100,10,38,124.522,83,1
100,10,39,122.052,86,3
100,10,40,126.66,88,3
100,10,41,125.8,79,1
100,10,42,124.308,81,2
100,10,43,124.318,84,1
100,10,44,120.901,80,1
100,10,45,123.688,84,1
100,10,46,122.742,78,1
100,10,47,126.061,87,2
100,10,48,124.081,85,3
100,10,49,121.94,82,0
100,10,50,123.139,74,1
100,20,1,124.474,57,4
100,20,2,122.872,62,5
100,20,3,122.113,67,6
100,20,4,123.805,69,5
100,20,5,125.504,70,5
100,20,6,121.08,64,3
100,20,7,123.74,75,4
100,20,8,125.452,71,5
100,20,9,122.587,73,5
100,20,10,122.267,61,4
100,20,11,122.43,72,6
100,20,12,123.858,75,5
100,20,13,123.656,69,2
100,20,14,119.292,70,5
100,20,15,123.523,68,4
100,20,16,121.644,64,4
100,20,17,124.332,69,3
100,20,18,123.244,70,3
100,20,19,123.403,65,2
100,20,20,123.049,68,4
100,20,21,122.419,66,2
100,20,22,124.529,73,5
100,20,23,121.758,78,6
