Vehicles,Antennas,AvgPathLoss,AvgUnlinkedVehicles,AvgUnusedAntennas
100,10,nan,100,10
100,20,nan,100,20
100,30,nan,100,30
100,40,nan,100,40
100,50,nan,100,50
200,10,nan,200,10
200,20,nan,200,20
200,30,nan,200,30
200,40,nan,200,40
200,50,nan,200,50
300,10,nan,300,10
300,20,nan,300,20
300,30,nan,300,30
300,40,nan,300,40
300,50,nan,300,50
400,10,nan,400,10
400,20,nan,400,20
400,30,nan,400,30
400,40,nan,400,40
400,50,nan,400,50
500,10,nan,500,10
500,20,nan,500,20
500,30,nan,500,30
500,40,nan,500,40
500,50,nan,500,50
