Vehicles,Antennas,Iteration,PathLoss,UnlinkedVehicles,UnusedAntennas
100,10,1,122.908,84,2
100,10,2,120.785,76,1
100,10,3,121.855,89,4
100,10,4,123.99,80,0
100,10,5,124.036,85,3
100,10,6,128.384,83,0
100,10,7,121.445,82,2
100,10,8,123.283,83,1
100,10,9,123.508,76,0
100,10,10,123.755,78,2
100,10,11,125.4,89,4
100,10,12,123.785,78,2
100,10,13,123.739,83,1
100,10,14,121.978,78,0
100,10,15,126.128,83,2
100,10,16,127.54,88,5
100,10,17,123.922,82,3
100,10,18,124.426,84,1
100,10,19,126.307,87,3
100,10,20,126.916,84,3
100,10,21,120.395,82,2
100,10,22,123.377,88,3
100,10,23,119.028,90,3
100,10,24,124.015,76,0
100,10,25,125.06,85,2
100,10,26,123.822,80,0
100,10,27,123.481,87,2
100,10,28,125.424,83,0
100,10,29,125.464,79,1
100,10,30,124.022,79,1
100,10,31,124.607,78,3
100,10,32,124.004,82,3
100,10,33,119.288,86,2
100,10,34,123.26,83,2
100,10,35,123.92,85,1
100,10,36,117.898,86,2
100,10,37,121.102,82,2
100,10,38,120.72,87,2
100,10,39,123.323,81,1
100,10,40,124.996,84,2
100,10,41,127.13,85,2
100,10,42,121.806,84,2
100,10,43,119.392,85,3
100,10,44,125.238,86,3
100,10,45,123.859,84,1
100,10,46,122.817,83,0
100,10,47,121.91,86,2
100,10,48,125.2,79,1
100,10,49,122.695,86,0
100,10,50,123.923,75,0
100,20,1,125.459,65,4
100,20,2,125.045,67,3
100,20,3,124.473,78,7
100,20,4,123.676,71,5
100,20,5,123.831,71,2
100,20,6,122.036,68,5
100,20,7,124.706,62,5
100,20,8,123.407,69,3
100,20,9,121.89,61,5
100,20,10,121.082,57,2
100,20,11,119.52,66,2
100,20,12,120.874,78,8
100,20,13,126.11,69,4
100,20,14,122.79,60,1
100,20,15,121.125,70,6
100,20,16,125.773,75,7
100,20,17,125.306,69,5
100,20,18,121.635,67,5
100,20,19,123.155,65,2
100,20,20,123.1,70,6
100,20,21,125.341,68,7
100,20,22,121.231,67,2
100,20,23,122.254,72,7
100,20,24,123.881,70,6
100,20,25,123.024,66,4
100,20,26,120.584,68,3
100,20,27,122.073,72,6
100,20,28,120.125,79,7
100,20,29,121.249,63,3
100,20,30,120.174,64,2
100,20,31,125.014,65,2
100,20,32,124.638,61,4
100,20,33,124.872,71,6
100,20,34,121.999,66,2
100,20,35,124.563,68,6
100,20,36,122.418,64,4
100,20,37,123.351,67,4
100,20,38,123.009,70,4
100,20,39,121.909,65,4
100,20,40,119.739,71,4
100,20,41,120.078,72,6
100,20,42,124.573,68,4
100,20,43,122.862,69,6
100,20,44,125.498,80,8
100,20,45,126.723,65,2
100,20,46,124.308,68,1
100,20,47,124.459,71,3
100,20,48,120.856,66,4
100,20,49,123.264,70,5
100,20,50,122.003,70,5
100,30,1,121.648,60,7
100,30,2,118.875,59,8
100,30,3,125.082,57,8
100,30,4,123.083,53,8
100,30,5,119.645,49,6
100,30,6,122.583,58,6
100,30,7,124.083,52,5
100,30,8,124.138,59,10
100,30,9,122.924,51,8
100,30,10,120.104,62,12
100,30,11,125.002,48,4
100,30,12,123.201,54,9
100,30,13,119.869,65,10
100,30,14,123.063,52,7
100,30,15,120.987,55,9
100,30,16,121.461,55,8
100,30,17,122.74,47,5
100,30,18,123.593,55,10
100,30,19,122.908,55,6
100,30,20,122.753,53,6
100,30,21,120.608,59,10
100,30,22,123.172,57,7
100,30,23,123.449,66,12
100,30,24,124.101,47,9
100,30,25,121.029,57,8
100,30,26,123.042,59,7
100,30,27,121.439,50,7
100,30,28,121.531,58,6
100,30,29,118.619,49,6
100,30,30,123.352,57,12
100,30,31,122.187,56,9
100,30,32,121.835,51,7
100,30,33,121.037,58,10
100,30,34,123.19,48,9
100,30,35,121.533,58,8
100,30,36,122.397,53,6
100,30,37,122.085,59,10
100,30,38,123.617,59,11
100,30,39,121.978,68,11
100,30,40,122.812,58,10
100,30,41,122.297,51,6
100,30,42,124.136,55,6
100,30,43,121.878,50,7
100,30,44,120.986,60,11
100,30,45,122.051,67,11
100,30,46,121.315,55,6
100,30,47,123.633,49,7
100,30,48,119.448,62,7
100,30,49,120.75,58,9
100,30,50,122.08,50,6
100,40,1,122.754,40,11
100,40,2,122.291,40,7
100,40,3,119.185,43,10
100,40,4,122.708,51,12
100,40,5,120.215,43,11
100,40,6,123.26,40,11
100,40,7,122.307,46,11
100,40,8,121.328,55,15
100,40,9,122.466,51,11
100,40,10,122.792,52,14
100,40,11,119.579,43,6
100,40,12,123.208,45,7
100,40,13,121.368,49,14
100,40,14,122.72,50,11
100,40,15,123.078,46,9
100,40,16,122.021,49,12
100,40,17,123.258,40,9
100,40,18,120.947,40,7
100,40,19,123.777,52,18
100,40,20,120.961,47,10
100,40,21,120.675,51,11
100,40,22,121.19,53,14
100,40,23,122.112,51,15
100,40,24,121.682,37,12
100,40,25,120.967,46,10
100,40,26,123.941,51,13
100,40,27,124.182,41,11
100,40,28,121.797,58,13
100,40,29,120.988,52,12
100,40,30,123.422,52,16
100,40,31,121.278,53,13
100,40,32,123.22,40,7
100,40,33,121.471,51,12
100,40,34,121.354,43,13
100,40,35,120.803,43,8
100,40,36,122.32,43,10
100,40,37,121.979,45,10
100,40,38,122.622,49,14
100,40,39,123.359,53,13
100,40,40,122.997,44,7
100,40,41,121.715,34,10
100,40,42,122.105,56,16
100,40,43,122.187,48,11
100,40,44,122.18,56,13
100,40,45,121.97,58,17
100,40,46,122.561,52,15
100,40,47,122.535,47,11
100,40,48,123.825,58,15
100,40,49,123.48,39,10
100,40,50,119.741,48,15
100,50,1,120.213,34,10
100,50,2,124.005,30,15
100,50,3,121.015,39,17
100,50,4,123.176,41,22
100,50,5,121.949,40,16
100,50,6,121.056,43,21
100,50,7,122.332,37,15
100,50,8,122.171,47,20
100,50,9,121.708,37,17
100,50,10,121.583,47,19
100,50,11,122.037,42,19
100,50,12,120.896,29,14
100,50,13,120.239,38,16
100,50,14,121.508,37,18
100,50,15,121.296,35,17
100,50,16,120.096,42,17
100,50,17,121.527,34,12
100,50,18,124.186,47,15
100,50,19,121.46,38,16
100,50,20,122.802,33,15
100,50,21,125.231,39,20
100,50,22,123.526,35,15
100,50,23,122.082,42,14
100,50,24,122.568,33,15
100,50,25,121.97,40,14
100,50,26,123.49,42,15
100,50,27,123.321,45,19
100,50,28,121.223,40,19
100,50,29,121.721,38,18
100,50,30,123.417,29,16
100,50,31,122.669,28,12
100,50,32,121.086,42,18
100,50,33,122.551,46,15
100,50,34,119.845,53,21
100,50,35,120.816,36,14
100,50,36,118.812,44,15
100,50,37,123.087,37,15
100,50,38,120.842,32,17
100,50,39,121.947,36,11
100,50,40,119.625,43,16
100,50,41,121.255,47,16
100,50,42,123.548,30,16
100,50,43,122.6,46,21
100,50,44,121.896,47,22
100,50,45,120.649,36,15
100,50,46,121.58,47,18
100,50,47,120.755,39,15
100,50,48,123.2,35,17
100,50,49,119.277,43,19
100,50,50,120.734,44,17
200,10,1,123.384,173,2
200,10,2,123.722,168,2
200,10,3,123.265,163,0
200,10,4,124.477,167,0
200,10,5,121.205,164,0
200,10,6,121.558,173,0
200,10,7,124.331,173,1
200,10,8,124.427,158,1
200,10,9,121.545,172,0
200,10,10,122.827,166,0
200,10,11,123.158,164,1
200,10,12,124.264,164,0
200,10,13,122.983,158,0
200,10,14,121.242,168,0
200,10,15,121.863,169,0
200,10,16,122.775,170,0
200,10,17,122.331,157,1
200,10,18,122.306,170,0
200,10,19,121.272,165,1
200,10,20,123.287,167,1
200,10,21,124.775,157,0
200,10,22,123.602,166,0
200,10,23,123.446,166,0
200,10,24,124.262,167,0
200,10,25,122.609,165,0
200,10,26,124.666,166,0
200,10,27,122.225,163,0
200,10,28,124.504,169,1
200,10,29,121.277,172,1
200,10,30,123.822,168,1
200,10,31,122.595,173,1
200,10,32,125.266,162,1
200,10,33,123.509,169,0
200,10,34,122.627,165,0
200,10,35,123.896,159,1
200,10,36,122.947,167,2
200,10,37,123.186,170,0
200,10,38,124.559,176,2
200,10,39,123.498,154,1
200,10,40,122.57,161,0
200,10,41,123.015,169,0
200,10,42,121.426,157,0
200,10,43,122.602,162,0
200,10,44,125.46,170,2
200,10,45,121.608,163,1
200,10,46,121.959,160,0
200,10,47,126.044,167,0
200,10,48,122.311,154,0
200,10,49,123.836,157,0
200,10,50,123.595,162,0
200,20,1,123.875,139,0
200,20,2,124.756,133,0
200,20,3,123.909,140,0
